borrower_id,borrower_name,borrower_sector_code,borrower_sector_description,period,period_title,covenant_type,Actual,Headroom,Status,Threshold,fy_month,fy_year
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2023-01-01,M12-FY23(A),DSCR,2.624749308,-5.249101724,-1.0,2.75,12,23
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2023-01-01,M12-FY23(A),Gross Leverage Ratio,3.841833493,3.282402961,0.0,3.96,12,23
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2023-01-01,M12-FY23(A),Minimum Cash Cover,635053.1,62.36618796,1.0,275000.0,12,23
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2023-01-01,M12-FY23(A),Senior Leverage Ratio,2.249121477,16.28660512,1.0,2.64,12,23
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2024-01-01,M12-FY24,DSCR,-0.180506633,-1785.838694,-1.0,2.75,12,24
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2024-01-01,M12-FY24,Gross Leverage Ratio,1.911119772,56.91333967,1.0,3.96,12,24
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2024-01-01,M12-FY24,Minimum Cash Cover,536307.112,53.59575078,1.0,275000.0,12,24
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2024-01-01,M12-FY24,Senior Leverage Ratio,1.572115044,44.49520649,1.0,2.64,12,24
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2025-01-01,M12-FY25,DSCR,4.330949283,40.15388077,1.0,2.75,12,25
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2025-01-01,M12-FY25,Gross Leverage Ratio,1.143312822,78.24131051,1.0,3.96,12,25
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2025-01-01,M12-FY25,Minimum Cash Cover,1625597.201,91.39145418,1.0,275000.0,12,25
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2025-01-01,M12-FY25,Senior Leverage Ratio,1.143312822,62.36196577,1.0,2.64,12,25
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2026-01-01,M12-FY26,DSCR,7.952547564,71.96187479,1.0,2.75,12,26
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2026-01-01,M12-FY26,Gross Leverage Ratio,0.832578931,86.87280746,1.0,3.96,12,26
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2026-01-01,M12-FY26,Minimum Cash Cover,3560675.94,101.5044221,1.0,275000.0,12,26
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2026-01-01,M12-FY26,Senior Leverage Ratio,0.832578931,75.30921119,1.0,2.64,12,26
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2023-02-01,(B)M1-FY24,DSCR,2.812609058,2.448614873,0.0,2.75,1,24
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2023-02-01,(B)M1-FY24,Gross Leverage Ratio,3.931342406,0.796044265,0.0,3.96,1,24
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2023-02-01,(B)M1-FY24,Minimum Cash Cover,1303735.133,86.79743437,1.0,275000.0,1,24
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2023-02-01,(B)M1-FY24,Senior Leverage Ratio,2.289494323,14.60440319,1.0,2.64,1,24
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2024-02-01,M1-FY25,DSCR,-0.086983294,-3587.6793,-1.0,2.75,1,25
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2024-02-01,M1-FY25,Gross Leverage Ratio,1.860908235,58.30810459,1.0,3.96,1,25
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2024-02-01,M1-FY25,Minimum Cash Cover,726439.9237,68.35856619,1.0,275000.0,1,25
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2024-02-01,M1-FY25,Senior Leverage Ratio,1.528203752,46.32484366,1.0,2.64,1,25
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2025-02-01,M1-FY26,DSCR,4.461713159,42.20093062,1.0,2.75,1,26
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2025-02-01,M1-FY26,Gross Leverage Ratio,1.112840054,79.08777628,1.0,3.96,1,26
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2025-02-01,M1-FY26,Minimum Cash Cover,1818476.102,93.36519244,1.0,275000.0,1,26
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2025-02-01,M1-FY26,Senior Leverage Ratio,1.112840054,63.63166442,1.0,2.64,1,26
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2026-02-01,M1-FY27,DSCR,7.950813922,71.95358073,1.0,2.75,1,27
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2026-02-01,M1-FY27,Gross Leverage Ratio,0.822300179,87.15832836,1.0,3.96,1,27
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2026-02-01,M1-FY27,Minimum Cash Cover,3506256.45,101.3725649,1.0,275000.0,1,27
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2026-02-01,M1-FY27,Senior Leverage Ratio,0.822300179,75.73749254,1.0,2.64,1,27
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2023-03-01,M2-FY24,DSCR,2.980830968,8.518230895,0.0,2.75,2,24
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2023-03-01,M2-FY24,Gross Leverage Ratio,3.73776893,6.173085288,0.0,3.96,2,24
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2023-03-01,M2-FY24,Minimum Cash Cover,1446779.947,89.09149898,1.0,275000.0,2,24
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2023-03-01,M2-FY24,Senior Leverage Ratio,2.168886554,19.62972692,1.0,2.64,2,24
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2024-03-01,M2-FY25,DSCR,0.002431973,-124274.6279,-1.0,2.75,2,25
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2024-03-01,M2-FY25,Gross Leverage Ratio,1.813966457,59.61204286,1.0,3.96,2,25
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2024-03-01,M2-FY25,Minimum Cash Cover,920001.8886,77.11963272,1.0,275000.0,2,25
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2024-03-01,M2-FY25,Senior Leverage Ratio,1.487073268,48.03861384,1.0,2.64,2,25
B1,Knapp  Brown and Keller,66290,Other activities auxiliary to insurance and pension funding,2025-03-01,M2-FY26,DSCR,4.592477035,44.13140715,1.0,2.75,2,26
